Ingredient,Substitute,Context,Equivalent
ackee,1 pound almond,"The category is: Other Exotic Tropical Fruit. The pulp of this fruit looks and tastes like scrambled eggs when cooked, and Jamaicans like to serve it with salt cod.   Look for cans of it in Caribbean markets.  
Warning:  Only the yellow pulp on ripe ackees is edible.  Eating underripe ackees that haven't opened on their own, or eating the pink portion of ripe ackees, can cause vomiting and death.",1 pound ackee
acorn,1 pound hazelnut,"The category is: Nuts. These nuts come from oak trees, and they were once an important food for Native Americans.   Before they can be eaten, most acorns need to be treated to remove the bitter tannins in them.   To do this, boil whole shelled acorns in water, replacing the water with fresh boiling water whenever it turns light brown. Keep doing this for about two hours, until the water no longer changes color.   Alternatively, you can soak the shelled acorns in several changes of water for three or four days.  Some Native Americans do this by putting whole or pounded acorns into nylon stockings and hanging them so that they're immersed in the water of a toilet tank (repeat:  tank, not bowl).  Each time the toilet is flushed, the water in the tank is refreshed.  This may discolor the toilet, however.  After the nuts have been leached of tannins, roast them in a 350° oven for about an hour.  They can then be eaten whole or ground into acorn meal and used to make porridges or breads.  Acorns from white oaks aren't nearly as bitter as those from red or black oaks, and can be roasted without first soaking them. These are like acorns, only they're low in tannin.",1 pound acorn
acorn,1 pound chestnut,"The category is: Nuts. These nuts come from oak trees, and they were once an important food for Native Americans.   Before they can be eaten, most acorns need to be treated to remove the bitter tannins in them.   To do this, boil whole shelled acorns in water, replacing the water with fresh boiling water whenever it turns light brown. Keep doing this for about two hours, until the water no longer changes color.   Alternatively, you can soak the shelled acorns in several changes of water for three or four days.  Some Native Americans do this by putting whole or pounded acorns into nylon stockings and hanging them so that they're immersed in the water of a toilet tank (repeat:  tank, not bowl).  Each time the toilet is flushed, the water in the tank is refreshed.  This may discolor the toilet, however.  After the nuts have been leached of tannins, roast them in a 350° oven for about an hour.  They can then be eaten whole or ground into acorn meal and used to make porridges or breads.  Acorns from white oaks aren't nearly as bitter as those from red or black oaks, and can be roasted without first soaking them.",1 pound acorn
acorn squash,1 pound buttercup squash,"The category is: Winter Squash. This orange-fleshed winter squash is popular because of its small size--it can be cut in half and baked to make two generous servings. The rind, unfortunately, is quite hard and difficult to cut. To avoid injuring yourself, first slice off both the top and the bottom with a sharp knife, and use the stem end as a base for the more treacherous halving cut. Select acorn squash with as much green on the rind as possible, though most will have a single orange spot on one side. drier",1 pound acorn squash
acorn squash,1 pound butternut squash,"The category is: Winter Squash. This orange-fleshed winter squash is popular because of its small size--it can be cut in half and baked to make two generous servings. The rind, unfortunately, is quite hard and difficult to cut. To avoid injuring yourself, first slice off both the top and the bottom with a sharp knife, and use the stem end as a base for the more treacherous halving cut. Select acorn squash with as much green on the rind as possible, though most will have a single orange spot on one side. nuttier flavor; easier to peel when raw",1 pound acorn squash
acorn squash,1 pound banana squash,"The category is: Winter Squash. This orange-fleshed winter squash is popular because of its small size--it can be cut in half and baked to make two generous servings. The rind, unfortunately, is quite hard and difficult to cut. To avoid injuring yourself, first slice off both the top and the bottom with a sharp knife, and use the stem end as a base for the more treacherous halving cut. Select acorn squash with as much green on the rind as possible, though most will have a single orange spot on one side. much larger",1 pound acorn squash
acorn squash,1 pound turban squash,"The category is: Winter Squash. This orange-fleshed winter squash is popular because of its small size--it can be cut in half and baked to make two generous servings. The rind, unfortunately, is quite hard and difficult to cut. To avoid injuring yourself, first slice off both the top and the bottom with a sharp knife, and use the stem end as a base for the more treacherous halving cut. Select acorn squash with as much green on the rind as possible, though most will have a single orange spot on one side. sweeter",1 pound acorn squash
acorn squash,1 pound Hubbard squash,"The category is: Winter Squash. This orange-fleshed winter squash is popular because of its small size--it can be cut in half and baked to make two generous servings. The rind, unfortunately, is quite hard and difficult to cut. To avoid injuring yourself, first slice off both the top and the bottom with a sharp knife, and use the stem end as a base for the more treacherous halving cut. Select acorn squash with as much green on the rind as possible, though most will have a single orange spot on one side. much larger",1 pound acorn squash
acorn squash,1 pound pumpkin,"The category is: Winter Squash. This orange-fleshed winter squash is popular because of its small size--it can be cut in half and baked to make two generous servings. The rind, unfortunately, is quite hard and difficult to cut. To avoid injuring yourself, first slice off both the top and the bottom with a sharp knife, and use the stem end as a base for the more treacherous halving cut. Select acorn squash with as much green on the rind as possible, though most will have a single orange spot on one side. much larger",1 pound acorn squash
acorn squash,1 pound green papaya,"The category is: Winter Squash. This orange-fleshed winter squash is popular because of its small size--it can be cut in half and baked to make two generous servings. The rind, unfortunately, is quite hard and difficult to cut. To avoid injuring yourself, first slice off both the top and the bottom with a sharp knife, and use the stem end as a base for the more treacherous halving cut. Select acorn squash with as much green on the rind as possible, though most will have a single orange spot on one side.",1 pound acorn squash
acorn squash,1 pound golden nugget squash,"The category is: Winter Squash. This orange-fleshed winter squash is popular because of its small size--it can be cut in half and baked to make two generous servings. The rind, unfortunately, is quite hard and difficult to cut. To avoid injuring yourself, first slice off both the top and the bottom with a sharp knife, and use the stem end as a base for the more treacherous halving cut. Select acorn squash with as much green on the rind as possible, though most will have a single orange spot on one side. hard to cut open; consider baking first",1 pound acorn squash
active dry yeast,0.4 teaspoons fresh yeast,"The category is: Yeast. This is the yeast called for by most bread recipes.  It's largely displaced the fresh yeast our grandparents used since it has a longer shelf life and is more tolerant of mishandling.   To activate it, sprinkle it on water that's 105° - 115° F and wait for it to begin foaming (about five minutes).  Look for it in the dairy case--it's usually sold in strips of three packages or in 4-ounce jars.  Always check the expiration date to make sure it's fresh.  Dry yeast can be stored at room temperature until the expiration date--or within 4 months of opening--but it lasts even longer in the refrigerator or freezer.  Always bring yeast to room temperature before you use it.   It's important to keep stored yeast away from air and moisture, so use the smallest container you can find and seal it well. fresh yeast (Substitute one cake for each package or 2 1/4 teaspoons of active dry yeast.)",1 teaspoon active dry yeast
active dry yeast,1 teaspoon instant yeast,"The category is: Yeast. This is the yeast called for by most bread recipes.  It's largely displaced the fresh yeast our grandparents used since it has a longer shelf life and is more tolerant of mishandling.   To activate it, sprinkle it on water that's 105° - 115° F and wait for it to begin foaming (about five minutes).  Look for it in the dairy case--it's usually sold in strips of three packages or in 4-ounce jars.  Always check the expiration date to make sure it's fresh.  Dry yeast can be stored at room temperature until the expiration date--or within 4 months of opening--but it lasts even longer in the refrigerator or freezer.  Always bring yeast to room temperature before you use it.   It's important to keep stored yeast away from air and moisture, so use the smallest container you can find and seal it well. instant yeast (Substitute measure for measure, but don't dissolve it in liquid first.  Your bread will only need to rise once.)",1 teaspoon active dry yeast
active dry yeast,1 teaspoon bread machine yeast,"The category is: Yeast. This is the yeast called for by most bread recipes.  It's largely displaced the fresh yeast our grandparents used since it has a longer shelf life and is more tolerant of mishandling.   To activate it, sprinkle it on water that's 105° - 115° F and wait for it to begin foaming (about five minutes).  Look for it in the dairy case--it's usually sold in strips of three packages or in 4-ounce jars.  Always check the expiration date to make sure it's fresh.  Dry yeast can be stored at room temperature until the expiration date--or within 4 months of opening--but it lasts even longer in the refrigerator or freezer.  Always bring yeast to room temperature before you use it.   It's important to keep stored yeast away from air and moisture, so use the smallest container you can find and seal it well. bread machine yeast (Substitute measure for measure, but don't dissolve it in liquid first.  Your bread will only need to rise once.)",1 teaspoon active dry yeast
adobo sauce,1 teaspoon Tabasco sauce,The cuisine is: Mexican. The category is: Hispanic condiments.,1 ounce adobo sauce
advantame,1 tablespoon acesulfame K,The category is: Sugars. An artifical sweetner.,1 tablespoon advantame
advantame,1 tablespoon aspartame,The category is: Sugars. An artifical sweetner.,1 tablespoon advantame
advantame,1 tablespoon saccarin,The category is: Sugars. An artifical sweetner.,1 tablespoon advantame
advantame,1 tablespoon sucralose,The category is: Sugars. An artifical sweetner.,1 tablespoon advantame
advantame,1 tablespoon Neotame,The category is: Sugars. An artifical sweetner.,1 tablespoon advantame
advocaat,1 gallon eggnog,The category is: Other Liqueurs. This is a very thick liqueur made from brandy and egg yolks.   It's normally eaten with a spoon or added to coffee or hot chocolate. Warninks and Bols are highly regarded brands,1 gallon advocaat
advocaat,1 pint Irish cream liqueur,The category is: Other Liqueurs. This is a very thick liqueur made from brandy and egg yolks.   It's normally eaten with a spoon or added to coffee or hot chocolate. Warninks and Bols are highly regarded brands,1 pint advocaat
African bird pepper,1 tablespoon cayenne pepper dried,The category is: African Spices. This is the North African equivalent of our cayenne pepper.,1 tablespoon African bird pepper
agar,1 tablespoon gelatin,"The category is: Gelatins. Since gelatin is made from animal tissue, many vegetarians rely upon this seaweed derivative as a substitute.  Like ordinary gelatin, agar is flavorless and becomes gelatinous when it's dissolved in water, heated, and then cooled.   Agar, though, gels more firmly than gelatin, and it sets and melts at a higher temperature--it can even set at room temperature.  Agar, like gelatin, is full of protein (though incomplete), but it also contains the rich array of minerals one would expect from seaweed.   To use agar, just soak it in the liquid for about 15 minutes, bring it to a gentle boil, then simmer while stirring until it's completely dissolved.  The liquid will gel as it cools.  Acids weakens agar's gelling power, so if you're firming an acidic liquid, use more.  Like gelatin, agar will break down if exposed to the enzymes of certain raw fruits, like kiwi fruit, papayas, pineapple, peaches, mangos, guavas, and figs.  Cooking these fruits, though, destroys the enzymes.  If you plan to add any of these fruits to a gelatin salad, it's a good idea to buy them in cans, since all canned fruit is pre-cooked.   Agar comes in flakes, powder, or bars.",1 tablespoon agar
agar noodles,1 pound bean threads,"The category is: Other Asian Noodles. These are strips of agar agar gelatin, which are usually served cold in a salad. Before using, soak them in boiling water until they're soft.",1 pound agar noodles
agnolotti,1 pound ravioli,"The category is: Stuffed Pasta. Italian for ""priests' caps,"" agnolotti are small, stuffed crescents of egg-dough pasta that are usually filled with roasted meat, cheese, mushrooms, and/or spinach. A specialty of Italy's Piedmont region, they're great in a broth or pasta salad.",1 pound agnolotti
agnolotti,1 pound cappelletti,"The category is: Stuffed Pasta. Italian for ""priests' caps,"" agnolotti are small, stuffed crescents of egg-dough pasta that are usually filled with roasted meat, cheese, mushrooms, and/or spinach. A specialty of Italy's Piedmont region, they're great in a broth or pasta salad.",1 pound agnolotti
agnolotti,1 pound tortelli,"The category is: Stuffed Pasta. Italian for ""priests' caps,"" agnolotti are small, stuffed crescents of egg-dough pasta that are usually filled with roasted meat, cheese, mushrooms, and/or spinach. A specialty of Italy's Piedmont region, they're great in a broth or pasta salad.",1 pound agnolotti
aioli,2 cloves garlic roasted and diced + 1 ounce mayonnaise,The category is: European condiments. Aioli is usually a mixture of mayonnaise and garlic. But it can be a mixture of olive oil and garlic.,1 ounce aioli
ají panca chili - dried,1 each pasilla chili,"The category is: Dried Chile Peppers. This reddish-brown dried chili is fruity, mild, and a little smoky.",1 each ají panca chili - dried
aji amarillo,1 each cayenne pepper - fresh,"The category is: Fresh Chile Peppers. This hot (40,000 Scovilles) chili originated in Peru and is a common usage in western South America. It is four inches long and yellow until it matures and turns red.",1 each aji amarillo
aji amarillo,1 each jalapeno pepper,"The category is: Fresh Chile Peppers. This hot (40,000 Scovilles) chili originated in Peru and is a common usage in western South America. It is four inches long and yellow until it matures and turns red.",1 each aji amarillo
ajwa dates,1 pound dates,"The category is: Dates. These dark skinned ajwa dates are grown around Medina, Saudi Arabia. They were said to have been a favorite of the prophet Mohammad.",1 pound ajwa dates
ajwa dates,1 pound raisins,"The category is: Dates. These dark skinned ajwa dates are grown around Medina, Saudi Arabia. They were said to have been a favorite of the prophet Mohammad.",1 pound ajwa dates
ajwa dates,1 pound dried fig,"The category is: Dates. These dark skinned ajwa dates are grown around Medina, Saudi Arabia. They were said to have been a favorite of the prophet Mohammad.",1 pound ajwa dates
ajwain,2 tablespoons thyme dried,"The category is: Indian Spices. These look like small caraway seeds, but they taste like a pungent version of thyme.  Indian cooks like to sprinkle them on breads.  Look for them in Indian markets. use more",1 tablespoon ajwain
ajwain,1 tablespoon cumin,"The category is: Indian Spices. These look like small caraway seeds, but they taste like a pungent version of thyme.  Indian cooks like to sprinkle them on breads.  Look for them in Indian markets.",1 tablespoon ajwain
ajwain,1 tablespoon caraway seed,"The category is: Indian Spices. These look like small caraway seeds, but they taste like a pungent version of thyme.  Indian cooks like to sprinkle them on breads.  Look for them in Indian markets.",1 tablespoon ajwain
albacore,1 pound tuna,The category is: Tuna.,1 pound albacore
ale,1 bottle brown ale,"The category is: Beer. There are two types of beer: lager, which is pale, light, and effervescent, and ale, which is heavier and more bitter. Types of ale include pale ale, porter, and stout.",1 bottle ale
ale,1 bottle India pale ale,"The category is: Beer. There are two types of beer: lager, which is pale, light, and effervescent, and ale, which is heavier and more bitter. Types of ale include pale ale, porter, and stout.",1 bottle ale
ale,1 bottle porter ale,"The category is: Beer. There are two types of beer: lager, which is pale, light, and effervescent, and ale, which is heavier and more bitter. Types of ale include pale ale, porter, and stout.",1 bottle ale
ale,1 bottle stout,"The category is: Beer. There are two types of beer: lager, which is pale, light, and effervescent, and ale, which is heavier and more bitter. Types of ale include pale ale, porter, and stout.",1 bottle ale
Aleppo pepper,1 tablespoon cayenne pepper - ground + 4 tablespoons paprika sweet,The category is: Middle Eastern Spices.,5 tablespoons Aleppo pepper
alexanders,1 pound watercress,The category is: European Herbs. Alexanders was a widely used vegetable for centuries. It grows naturally mostly in coastal areas through out Europe and the Mediterranean. Alexanders is attractive because the green shoots are available in the late winter. It has fallen out of favor.,1 pound alexanders
alexanders,1 pound celery,The category is: European Herbs. Alexanders was a widely used vegetable for centuries. It grows naturally mostly in coastal areas through out Europe and the Mediterranean. Alexanders is attractive because the green shoots are available in the late winter. It has fallen out of favor.,1 pound alexanders
alexanders,1 pound parsley,The category is: European Herbs. Alexanders was a widely used vegetable for centuries. It grows naturally mostly in coastal areas through out Europe and the Mediterranean. Alexanders is attractive because the green shoots are available in the late winter. It has fallen out of favor.,1 pound alexanders
alfalfa sprouts,1 pound sunflower sprouts,"The category is: Sprouts. These are too wispy to cook, but they're great raw in salads and sandwiches.",1 pound alfalfa sprouts
alfalfa sprouts,1 pound mung bean sprouts,"The category is: Sprouts. These are too wispy to cook, but they're great raw in salads and sandwiches. thicker shoots, crunchier, less sweet",1 pound alfalfa sprouts
alfalfa sprouts,1 pound soybean sprouts,"The category is: Sprouts. These are too wispy to cook, but they're great raw in salads and sandwiches. more of a bean flavor",1 pound alfalfa sprouts
alfalfa sprouts,1 pound fenugreek,"The category is: Sprouts. These are too wispy to cook, but they're great raw in salads and sandwiches. more bitter",1 pound alfalfa sprouts
alligator,1 pound turtle,"The category is: Game. Alligator meat is lean and mild and people say it tastes like a combination of pork, chicken, and rabbit.  The best meat comes from the tail.",1 pound alligator
alligator,1 pound chicken,"The category is: Game. Alligator meat is lean and mild and people say it tastes like a combination of pork, chicken, and rabbit.  The best meat comes from the tail.",1 pound alligator
all-purpose flour,1 cup whole wheat flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: Replace no more than half of the all-purpose flour with this and add half again as much baking powder plus a bit more liquid to the recipe.  Compared to all-purpose flour, whole wheat flour makes baked goods denser and coarser in texture.  It provides more fiber but about the same nutrients as enriched all-purpose flour.",1 cup all-purpose flour
all-purpose flour,1 cup self-rising flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: Omit salt and baking powder from recipe.  Don't use this in yeast breads or pie crusts.",1 cup all-purpose flour
all-purpose flour,1 cup pastry flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: This doesn't work well in cookies.",1 cup all-purpose flour
all-purpose flour,1 cup cake flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking:",1 cup all-purpose flour
all-purpose flour,1.1 cups cake flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: (Don't use this in bread. It also doesn't work well in cookies, quick breads, muffins, and biscuits--it makes them very crumbly. In a pinch, substitute one cup of all-purpose flour with one cup plus two tablespoons of cake flour.",1 cup all-purpose flour
all-purpose flour,1 cup barley flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: This has a mild flavor and works especially well in pancakes, cookies, and quick breads.  Replace up to half of any wheat flour in a recipe with this.  Contains some gluten.",1 cup all-purpose flour
all-purpose flour,1 cup buckwheat flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: This is especially good in pancakes.  It tends to make baked goods heavier and stronger tasting.  Replace up to half of the wheat flour in any recipe with this.  Contains some gluten.",1 cup all-purpose flour
all-purpose flour,1 cup oat flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: This is especially good in quick breads and cookies.  It makes baked goods moister, chewier, and more crumbly.  Contains some gluten.",1 cup all-purpose flour
all-purpose flour,1 cup rice flour brown,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: This is especially good for those with wheat allergies; replace up to 1/4 of any wheat flour with this.  Baked goods made with rice flour tend to be crumbly, so consider substituting a mixture of one part arrowroot or other thickener plus four parts rice flour.  Adding more eggs is another way to reduce crumbliness.  Since rice flour absorbs more moisture, you may need to add more liquid to recipe.",1 cup all-purpose flour
all-purpose flour,1 cup corn flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: This is a good substitute for those with wheat allergies.",1 cup all-purpose flour
all-purpose flour,1 cup millet flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: This has a more pronounced flavor than all-purpose flour, and it tends to make baked goods coarse and dry.  Replace up to 1/5 of any wheat flour with this.",1 cup all-purpose flour
all-purpose flour,0.88 cups potato flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: Replace up to 1/4 of any wheat flour in a recipe with this.  Substitute 5/8 cup potato flour for 1 cup all-purpose flour.",1 cup all-purpose flour
all-purpose flour,1 cup soy flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: This is high in protein, but has a very strong flavor.  Replace up to 1/4 of any wheat flour with this, then increase the liquid in the recipe and reduce the oven temperature by 25 degrees.) OR
quinoa flour (This is higher in fat than all-purpose flour, so it tends to make baked goods moister.  Replace up to 1/2 of the wheat flour in the recipe with this.",1 cup all-purpose flour
all-purpose flour,0.88 cups rice flour non-waxy,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: This is good for those with wheat allergies.  Replace up to 1/4 of any wheat flour with this.  Baked goods made with rice flour tend to be crumbly, so consider substituting a mixture of one part arrowroot or other thickener plus four parts rice flour.  Adding more eggs is another way to reduce crumbliness.   Since rice flour absorbs more moisture than all-purpose flour, you may need to add more liquid to the recipe or substitute only 7/8 C rice flour for each cup of all-purpose flour.",1 cup all-purpose flour
all-purpose flour,1 cup wheat germ,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: This makes for a more nutritious product.  Replace up to 1/3 of the flour with this.",1 cup all-purpose flour
all-purpose flour,1 cup amaranth flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: This is higher in fat than all-purpose flour.",1 cup all-purpose flour
all-purpose flour,1 cup spelt flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: This tends to make baked goods heavier, so consider increasing the baking powder so that the product rises more.   Spelt is tolerated by most people with wheat allergies, and it's great for making pasta and bread.",1 cup all-purpose flour
